Iteration,Erreur
1220,6.051678e-05
1221,6.045640e-05
1222,6.039609e-05
1223,6.033585e-05
1224,6.027566e-05
1225,6.021555e-05
1226,6.015549e-05
1227,6.009550e-05
1228,6.003558e-05
1229,5.997572e-05
1230,5.991592e-05
1231,5.985619e-05
1232,5.979652e-05
1233,5.973691e-05
1234,5.967737e-05
1235,5.961790e-05
1236,5.955848e-05
1237,5.949913e-05
1238,5.943985e-05
1239,5.938063e-05
1240,5.932147e-05
1241,5.926237e-05
1242,5.920334e-05
1243,5.914437e-05
1244,5.908547e-05
1245,5.902663e-05
1246,5.896785e-05
1247,5.890914e-05
1248,5.885048e-05
1249,5.879189e-05
1250,5.873337e-05
1251,5.867491e-05
1252,5.861651e-05
1253,5.855817e-05
1254,5.849989e-05
1255,5.844168e-05
1256,5.838353e-05
1257,5.832545e-05
1258,5.826742e-05
1259,5.820946e-05
1260,5.815156e-05
1261,5.809373e-05
1262,5.803595e-05
1263,5.797824e-05
1264,5.792059e-05
1265,5.786300e-05
1266,5.780548e-05
1267,5.774801e-05
1268,5.769061e-05
1269,5.763327e-05
1270,5.757599e-05
1271,5.751878e-05
1272,5.746162e-05
1273,5.740453e-05
1274,5.734750e-05
1275,5.729053e-05
1276,5.723362e-05
1277,5.717677e-05
1278,5.711999e-05
1279,5.706326e-05
1280,5.700660e-05
1281,5.695000e-05
1282,5.689346e-05
1283,5.683698e-05
1284,5.678056e-05
1285,5.672420e-05
1286,5.666791e-05
1287,5.661167e-05
1288,5.655550e-05
1289,5.649938e-05
1290,5.644333e-05
1291,5.638734e-05
1292,5.633140e-05
1293,5.627553e-05
1294,5.621972e-05
1295,5.616397e-05
1296,5.610828e-05
1297,5.605265e-05
1298,5.599708e-05
1299,5.594157e-05
1300,5.588612e-05
1301,5.583073e-05
1302,5.577540e-05
1303,5.572013e-05
1304,5.566492e-05
1305,5.560977e-05
1306,5.555468e-05
1307,5.549965e-05
1308,5.544468e-05
1309,5.538977e-05
1310,5.533492e-05
1311,5.528013e-05
1312,5.522540e-05
1313,5.517072e-05
1314,5.511611e-05
1315,5.506156e-05
1316,5.500706e-05
1317,5.495263e-05
1318,5.489825e-05
1319,5.484393e-05
1320,5.478967e-05
1321,5.473547e-05
1322,5.468133e-05
1323,5.462725e-05
1324,5.457323e-05
1325,5.451926e-05
1326,5.446535e-05
1327,5.441151e-05
1328,5.435772e-05
1329,5.430399e-05
1330,5.425032e-05
1331,5.419670e-05
1332,5.414315e-05
